"""","気温_平均(℃)","最高気温_平 均(℃)","最低気温_平 均(℃)","湿度_平均(％)","最小湿度_湿度(％)","最小湿度_起月.日","平均雲量_(10分比)","風速_平均(m/s)","最大風速(m/s)","最大風速_方向","最大風速_起月.日","日照時間(時間)","有感地震_回数"
"平成 7年(1995年)","16.2","20.3","12.5","65.0","19.0","3.20","6.3","3.9","18.5","南南西","4.23","2132.0","74.0"
"平成12年(2000年)","16.8","21.0","13.2","67.0","12.0","3. 3","6.6","3.7","19.5","西北西","2. 8","2085.1","21.0"
"平成17年(2005年)","16.6","20.6","13.1","61.0","13.0","4.16","7.0","3.9","19.7","南","9. 7","2071.2","9.0"
"","","","","","","","","","","","","",""
"平成20年(2008年)","16.7","20.8","13.1","65.0","12.0","5. 6","6.7","3.6","15.3","南南西","12.21","2040.6","6.0"
"平成21年(2009年)","16.9","21.1","13.2","64.0","12.0","4. 7","6.8","3.8","18.5","北北西"," 10. 8","2052.3","15.0"
"平成22年(2010年)","17.1","21.0","13.5","64.0","10.0","5. 2","6.9","3.9","18.2","南南西","3.15","2039.2","19.0"
"","","","","","","","","","","","","",""
"平成23年(2011年)","16.6","20.6","13.1","63.0","12.0","4.10","6.8","3.9","17.6","南","11.19","2139.7","32.0"
"平成24年(2012年)","16.4","20.4","12.9","65.0","12.0","3.29","6.9","3.8","22.9","南南西","4. 3","2042.0","5.0"
"平成25年(2013年)","17.0","21.2","13.2","66.0","17.0","4.25","6.5","3.9","22.0","西南西","12.10","2281.9","24.0"
"平成26年(2014年)","16.7","20.7","13.1","66.0","11.0","4.12","6.8","3.9","26.0","南","8.1","2145.2","17.0"
"","","","","","","","","","","","","",""
"2014年 1月","6.1","10.3","2.1","63.0","28.0","29.0","5.0","3.8","11.9","北","19","180.3","-"
"2014年 2月","5.9","9.6","2.7","63.0","32.0","16.0","6.8","4.4","11.0","北北東","18","117.1","3.0"
"2014年 3月","10.3","14.3","6.2","63.0","19.0","24.0","6.2","4.2","17.4","南南西","30","190.2","1.0"
"2014年 4月","14.4","19.3","9.8","60.0","11.0","12.0","6.2","3.5","13.8","西北西","4","205.6","1.0"
"2014年 5月","19.6","24.5","15.1","63.0","22.0","18.0","5.9","3.9","12.9","南","26","272.6","1.0"
"2014年 6月","23.5","27.5","20.5","72.0","21.0","1.0","8.5","3.0","12.3","南西","2","159.4","2.0"
"2014年 7月","27.4","31.2","24.4","73.0","35.0","1.0","7.5","3.5","15.9","南","10","214.9","2.0"
"2014年 8月","27.6","31.0","24.9","76.0","47.0","30*","8.9","4.4","26.0","南","10","164.7","2.0"
"2014年 9月","24.1","28.3","20.4","66.0","30.0","22.0","7.1","3.5","15.7","南南西","25","197.1","1.0"
"2014年10月","19.7","24.0","16.0","65.0","28.0","19.0","6.4","3.9","19.5","北北西","6","178.2","2.0"
"2014年11月","14.2","18.2","10.2","66.0","27.0","21.0","6.3","3.8","14.6","北西","2","146.8","1.0"
"2014年12月","7.3","10.5","4.3","62.0","28.0","31.0","6.7","4.9","16.5","西北西","17","118.3","1.0"
